Station,Latitude,Longitude
Phoenix Sky Harbor International Airport,33.4343,-112.0118
Tucson International Airport,32.1161,-110.941
Flagstaff Pulliam Airport,35.1385,-111.671
Yuma International Airport,32.6566,-114.605
Prescott Regional Airport,34.6544,-112.4195
Kingman Airport,35.2594,-113.938
Sierra Vista Municipal Airport,31.5892,-110.3446
Show Low Regional Airport,34.2655,-110.0057
Page Municipal Airport,36.9261,-111.4477
Grand Canyon National Park Airport,35.9524,-112.1469
Phoenix-Mesa Gateway Airport,33.3078,-111.6555
Scottsdale Airport,33.6229,-111.9106
Chandler Municipal Airport,33.2692,-111.8118
Falcon Field Airport,33.4608,-111.7274
Glendale Municipal Airport,33.5273,-112.2951
Phoenix Deer Valley Airport,33.6883,-112.083
Tucson Ryan Airfield,32.1425,-111.175
Marana Regional Airport,32.4057,-111.228
Gila Bend Municipal Airport,32.9554,-112.6784
Lake Havasu City Airport,34.5711,-114.3581
Sedona Airport,34.8486,-111.7883
Winslow-Lindbergh Regional Airport,35.0219,-110.7226
Douglas Municipal Airport,31.3426,-109.5063
Safford Regional Airport,32.8542,-109.6359
Nogales International Airport,31.4204,-110.8472
Kingman Airport,35.2594,-113.938
Winslow-Lindbergh Regional Airport,35.0219,-110.7226
Marana Regional Airport,32.4057,-111.228
Ryan Airfield,32.1425,-111.175
Bisbee Douglas International Airport,31.5885,-109.3506
Bullhead City International Airport,35.1561,-114.5596
