Station,Latitude,Longitude
Charleston International Airport,32.8986,-80.0405
Greenville-Spartanburg International Airport,34.8956,-82.2189
Columbia Metropolitan Airport,33.9388,-81.1195
Myrtle Beach International Airport,33.6797,-78.9283
Florence Regional Airport,34.1854,-79.7239
Hilton Head Airport,32.2244,-80.6975
Beaufort County Airport,32.4122,-80.6344
Rock Hill/York County Airport,34.9873,-81.0578
Greenwood County Airport,34.2487,-82.1593
Anderson Regional Airport,34.4943,-82.7094
Spartanburg Downtown Memorial Airport,34.9153,-81.9574
Sumter Airport,33.9944,-80.3616
Georgetown County Airport,33.3115,-79.3198
Cheraw Municipal Airport,34.7123,-79.9574
Orangeburg Municipal Airport,33.4568,-80.8597
Lancaster County Airport,34.7229,-80.8544
Barnwell Regional Airport,33.2571,-81.3887
Cherokee County Airport,35.0168,-81.6201
Darlington County Jetport,34.4491,-79.8875
Laurens County Airport,34.5007,-81.9476
Walterboro Lowcountry Regional Airport,32.9223,-80.6406
Fairfield County Airport,34.3151,-81.1081
Grand Strand Airport,33.8118,-78.7239
Jim Hamilton L.B. Owens Airport,33.9705,-80.9953
Marion County Airport,34.1816,-79.3346
Robert F. Swinnie Airport,33.5885,-79.1225
Twin City Airport,33.9204,-80.8012
Williamsburg Regional Airport,33.6357,-79.1215
Woodward Field,34.2837,-80.5654
