Station,Latitude,Longitude
Philadelphia International Airport,39.8719,-75.2411
Pittsburgh International Airport,40.4915,-80.2329
Harrisburg International Airport,40.1935,-76.7634
Wilkes-Barre/Scranton International Airport,41.3381,-75.7243
Erie International Airport,42.0831,-80.1739
Lehigh Valley International Airport,40.6521,-75.4408
Lancaster Airport,40.121,-76.2961
University Park Airport,40.8493,-77.8485
Altoona-Blair County Airport,40.2964,-78.32
Williamsport Regional Airport,41.2419,-76.9211
Reading Regional Airport,40.3785,-75.9656
York Airport,39.9171,-76.8735
New Castle Municipal Airport,41.034,-80.4137
Chester County G O Carlson Airport,39.9783,-75.8654
Northeast Philadelphia Airport,40.0812,-75.0106
Penn Valley Airport,41.3272,-78.4158
Quakertown Airport,40.4354,-75.3819
South Jersey Regional Airport,39.9429,-74.8453
Wings Field,40.1375,-75.2655
Doylestown Airport,40.3337,-75.1223
Washington County Airport,40.1367,-80.29
Butler County Airport,40.7768,-79.9495
Allegheny County Airport,40.3544,-79.9306
Lancaster Airport,40.121,-76.2961
Carlisle Airport,40.1893,-77.1717
Clearfield Lawrence Airport,41.0486,-78.4135
Lock Haven Piper Memorial Airport,41.1356,-77.4225
Mansfield Airport,41.8023,-77.088
Zelienople Municipal Airport,40.8016,-80.1603
Bradford Regional Airport,41.8031,-78.6401
DuBois Regional Airport,41.1783,-78.8987
Franklin Venango Regional Airport,41.3779,-79.8604
Indiana County-Jimmy Stewart Airport,40.6322,-79.105
Johnstown-Cambria County Airport,40.3161,-78.8342
Mid-State Regional Airport,40.8493,-77.8485
Pocono Mountains Municipal Airport,41.1374,-75.3788
Warren County Memorial Airport,41.8437,-79.27
York Airport,39.9171,-76.8735
